field1,field2,field3,field4,_GC_TYPE,_CLEANADDR,_X,_Y
9,,,,,,127.09446436935100,37.5542055302682
14,,,,,,127.08540038119800,37.54520245133450
15,,,,,,127.08540140903600,37.54610344947460
18,,,,,,127.08653300006800,37.546102625646700
16,,,,,,127.08653195861000,37.545201627533100
22,,,,,,127.0887951132960,37.54519994739940
21,,,,,,127.08992669056700,37.54519909106690
17,,,,,,127.08992560830100,37.54429809289760
23,,,,,,127.09331917589700,37.5433944607011
20,,,,,,127.09784890773200,37.546093790943600
19,,,,,,127.09784773008400,37.54519279311580
1,,,,,,127.09104621574200,37.53528723675470
2,,,,,,127.09104512039400,37.53438623709710
3,,,,,,127.09217764314600,37.535286359047200
4,,,,,,127.09217653418600,37.53438535941800
5,,,,,,127.09330907050200,37.53528547049980
7,,,,,,127.09330794793000,37.53438447089930
8,,,,,,127.09444049780700,37.53528457111250
6,,,,,,127.0944393616240,37.53438357154110
11,,,,,,127.0955719250620,37.53528366088540
12,,,,,,127.09557077526700,37.53438266134350
10,,,,,,127.0899212797180,37.54069409884170
13,,,,,,127.08992236179100,37.54159509756240
9,,,,,,127.08992560830100,37.54429809289760
14,,,,,,127.09105717190600,37.54429722574940
15,,,,,,127.08878656544500,37.53799195796330
18,,,,,,127.08878763376000,37.53889295712530
16,,,,,,127.08991803378600,37.53799110185240
22,,,,,,127.08992019769200,37.539793099983100
21,,,,,,127.09104950207900,37.53799023490050
17,,,,,,127.09218318868700,37.53979135512570
23,,,,,,127.09218207948000,37.538890356185700
20,,,,,,127.0921809703220,37.53798935710780
19,,,,,,127.09217875215600,37.53618735853860
1,,,,,,127.09331468411000,37.539790466434500
2,,,,,,127.09331356128800,37.5388894675233
3,,,,,,127.09331131579500,37.53708746928720
4,,,,,,127.09331019312300,37.53618646996240
5,,,,,,127.09444617948300,37.53978956690180
7,,,,,,127.0944450430470,37.53888856801970
8,,,,,,127.09444277032600,37.53708656984180
6,,,,,,127.09444163404100,37.53618557054610
11,,,,,,127.0955753747550,37.53798665868420
12,,,,,,127.09557422480600,37.5370856595558
10,,,,,,127.09557307490800,37.53618466028950
13,,,,,,127.09670684279700,37.53798573752790
9,,,,,,127.09670567923500,37.53708473842930
14,,,,,,127.09670451572400,37.536183739192800
15,,,,,,127.09783831078800,37.53798480553070
18,,,,,,127.09332029896800,37.54429545892310
16,,,,,,127.09331917589700,37.5433944607011
22,,,,,,127.0944507257350,37.543393561052
21,,,,,,127.0944495890960,37.542492562721200
17,,,,,,127.09444845250800,37.54159156425260
23,,,,,,127.09331917589700,37.5433944607011
20,,,,,,127.09332029896800,37.54429545892310
19,,,,,,127.0944507257350,37.543393561052
1,,,,,,127.0944495890960,37.542492562721200
2,,,,,,127.09444845250800,37.54159156425260
3,,,,,,127.09558227552300,37.54339265055990
4,,,,,,127.0955811252670,37.542491652258600
5,,,,,,127.09671382526000,37.54339172922480
7,,,,,,127.09671266138700,37.542490730953300
8,,,,,,127.09784419745500,37.542489798805300
