"동별(1)","동별(2)",항목,2024 4/4,2024 4/4
"광진구","군자동",계,311,381
"광진구","군자동",한국인,233,343
"광진구","군자동",등록외국인,78,38
"광진구","중곡1동",계,265,262
"광진구","중곡1동",한국인,253,248
"광진구","중곡1동",등록외국인,12,14
"광진구","중곡2동",계,297,485
"광진구","중곡2동",한국인,284,477
"광진구","중곡2동",등록외국인,13,8
"광진구","중곡3동",계,272,273
"광진구","중곡3동",한국인,258,266
"광진구","중곡3동",등록외국인,14,7
"광진구","중곡4동",계,443,504
"광진구","중곡4동",한국인,436,491
"광진구","중곡4동",등록외국인,7,13
"광진구","능동",계,211,221
"광진구","능동",한국인,195,203
"광진구","능동",등록외국인,16,18
"광진구","구의1동",계,370,448
"광진구","구의1동",한국인,347,429
"광진구","구의1동",등록외국인,23,19
"광진구","구의2동",계,505,771
"광진구","구의2동",한국인,479,731
"광진구","구의2동",등록외국인,26,40
"광진구","구의3동",계,652,860
"광진구","구의3동",한국인,646,855
"광진구","구의3동",등록외국인,6,5
"광진구","광장동",계,674,1733
"광진구","광장동",한국인,661,1714
"광진구","광장동",등록외국인,13,19
"광진구","자양1동",계,279,394
"광진구","자양1동",한국인,267,382
"광진구","자양1동",등록외국인,12,12
"광진구","자양2동",계,526,621
"광진구","자양2동",한국인,514,607
"광진구","자양2동",등록외국인,12,14
"광진구","자양3동",계,786,1022
"광진구","자양3동",한국인,778,1017
"광진구","자양3동",등록외국인,8,5
"광진구","자양4동",계,372,425
"광진구","자양4동",한국인,348,358
"광진구","자양4동",등록외국인,24,67
"동대문구","회기동",계,120,176
"동대문구","회기동",한국인,109,173
"동대문구","회기동",등록외국인,11,3
"동대문구","휘경1동",계,282,342
"동대문구","휘경1동",한국인,273,336
"동대문구","휘경1동",등록외국인,9,6
"동대문구","휘경2동",계,385,540
"동대문구","휘경2동",한국인,372,531
"동대문구","휘경2동",등록외국인,13,9
"동대문구","청량리동",계,239,330
"동대문구","청량리동",한국인,232,322
"동대문구","청량리동",등록외국인,7,8
"동대문구","용신동",계,863,1021
"동대문구","용신동",한국인,836,998
"동대문구","용신동",등록외국인,27,23
"동대문구","제기동",계,372,381
"동대문구","제기동",한국인,346,366
"동대문구","제기동",등록외국인,26,15
"동대문구","전농1동",계,853,1096
"동대문구","전농1동",한국인,827,1079
"동대문구","전농1동",등록외국인,26,17
"동대문구","전농2동",계,389,533
"동대문구","전농2동",한국인,386,528
"동대문구","전농2동",등록외국인,3,5
"동대문구","답십리2동",계,729,767
"동대문구","답십리2동",한국인,721,758
"동대문구","답십리2동",등록외국인,8,9
"동대문구","장안1동",계,865,1103
"동대문구","장안1동",한국인,846,1082
